Nationality,Students_2005_2024,Students_2025,Total_2005_2025
China,760817,196957,957774
India,456887,145012,601899
Nepal,145555,71177,216732
Korea Republic of (South),142149,13991,156140
Brazil,133091,20567,153658
United States of America,139536,7923,147459
Vietnam,108374,36840,145214
Malaysia,120981,14808,135789
Thailand,104075,19472,123547
Colombia,96396,25813,122209
Japan,103571,11580,115151
Indonesia,89593,25409,115002
Philippines,75949,34825,110774
Pakistan,63224,23510,86734
Taiwan,58541,11747,70288
Sri Lanka,48893,21247,70140
Bangladesh,40005,27211,67216
Germany,62805,4322,67127
United Kingdom + ,56068,4773,60841
Hong Kong SAR,49060,11279,60339
Singapore,50846,7166,58012
Canada,40074,4041,44115
France,38189,3945,42134
Italy,36723,3964,40687
Spain,34168,4638,38806
Saudi Arabia,32161,4257,36418
Bhutan,18166,13148,31314
Kenya,19135,9814,28949
Chile,23152,5223,28375
Norway,26032,1982,28014
Mexico,20739,3979,24718
Sweden,18742,953,19695
Turkiye,15177,4303,19480
Mongolia,11942,5999,17941
Iran,13259,3448,16707
Switzerland,15764,849,16613
Mauritius,12436,1844,14280
Fiji,8360,4883,13243
Denmark,11979,739,12718
Cambodia,8108,4467,12575
Czech Republic,11994,396,12390
Netherlands,11249,825,12074
Argentina,8168,3053,11221
Peru,8791,2359,11150
Poland,10299,553,10852
Nigeria,8313,2250,10563
Zimbabwe,7189,1799,8988
Ireland,7496,943,8439
Papua New Guinea,6249,1746,7995
Russian Federation,6938,956,7894
Ecuador,5389,2453,7842
Myanmar,6588,932,7520
Slovakia,6385,220,6605
South Africa,5496,1004,6500
Portugal,4806,535,5341
Austria,5091,245,5336
United Arab Emirates,4305,871,5176
Egypt,3829,699,4528
Lebanon,3955,383,4338
Hungary,4116,160,4276
Belgium,3764,492,4256
Oman,3892,207,4099
Venezuela,3805,138,3943
Finland,3594,207,3801
Jordan,3246,457,3703
Laos,2440,1130,3570
Kuwait,2891,677,3568
Greece,3113,184,3297
Macau,2507,500,3007
Lithuania,2559,429,2988
Brunei Darussalam,2522,251,2773
Zambia,2314,208,2522
Israel,2191,213,2404
Ghana,1699,495,2194
Botswana,1558,218,1776
Estonia,1576,187,1763
Iraq,1486,75,1561
North Macedonia,1197,175,1372
Uzbekistan,792,450,1242
Romania,1083,111,1194
Maldives,1005,186,1191
Kazakhstan,957,230,1187
Uganda,837,329,1166
Ethiopia,653,506,1159
Ukraine,1006,101,1107
Bulgaria,1009,64,1073
Tanzania,770,108,878
Solomon Islands,704,171,875
Timor-Leste,772,98,870
Uruguay,673,185,858
Slovenia,801,43,844
Bahrain,801,20,821
Serbia,616,60,676
Paraguay,496,146,642
Croatia,563,43,606
Latvia,494,43,537
Bolivia,395,129,524
Malawi,428,84,512
Seychelles,483,25,508
Morocco,390,99,489
Guatemala,342,122,464
Tonga,351,113,464
Iceland,433,28,461
El Salvador,354,59,413
Nauru,245,131,376
Albania,326,44,370
Cyprus,314,30,344
Syria,309,33,342
Luxembourg,295,39,334
Costa Rica,268,59,327
Azerbaijan,263,48,311
Afghanistan,263,39,302
Gaza Strip and West Bank,263,32,295
Bosnia and Herzegovina,269,19,288
Sudan,245,40,285
Panama,180,55,235
Belarus,196,28,224
Vanuatu,170,48,218
Yemen,176,39,215
Mozambique,175,34,209
Cameroon,182,25,207
Rwanda,148,49,197
Kiribati,171,25,196
Malta,153,31,184
Samoa ,142,37,179
Kyrgyzstan,119,47,166
Trinidad and Tobago,147,14,161
Jamaica,130,18,148
Algeria,103,39,142
Honduras,111,30,141
Tunisia,101,32,133
Armenia,98,33,131
Dominican Republic,101,27,128
