Sector,Year,Enrolments,Commencements
Higher Education,2019,440869.0,177206.0
Higher Education,2020,418365.0,136069.0
Higher Education,2021,365647.0,107497.0
Higher Education,2022,359926.0,146891.0
Higher Education,2023,434656.0,207173.0
Higher Education,2024,497187.0,212640.0
Higher Education,2025,545259.0,214096.0
VET,2019,281386.0,168413.0
VET,2020,304389.0,165090.0
VET,2021,281695.0,135890.0
VET,2022,270969.0,146472.0
VET,2023,324841.0,189531.0
VET,2024,391556.0,216574.0
VET,2025,363542.0,167293.0
Schools,2019,25459.0,11869.0
Schools,2020,20070.0,7905.0
Schools,2021,13018.0,3374.0
Schools,2022,11713.0,5823.0
Schools,2023,15827.0,9653.0
Schools,2024,19624.0,10939.0
Schools,2025,20344.0,9681.0
ELICOS,2019,156459.0,117274.0
ELICOS,2020,104722.0,66628.0
ELICOS,2021,41841.0,28739.0
ELICOS,2022,79357.0,73431.0
ELICOS,2023,161396.0,122716.0
ELICOS,2024,144206.0,97206.0
ELICOS,2025,93219.0,60854.0
Non-award,2019,48219.0,35732.0
Non-award,2020,32328.0,20418.0
Non-award,2021,13589.0,7314.0
Non-award,2022,20109.0,15809.0
Non-award,2023,32246.0,26020.0
Non-award,2024,36039.0,28050.0
Non-award,2025,35676.0,27180.0
