Applicant_Type,Sector,Financial_Year,Visas_Lodged,Visas_Granted,Grant_Rate
Primary,Foreign Affairs or Defence Sector,2005-06,2840.0,,99.44153577661432
Primary,Foreign Affairs or Defence Sector,2006-07,2709.0,,99.29052855622561
Primary,Foreign Affairs or Defence Sector,2007-08,2510.0,,99.24098671726756
Primary,Foreign Affairs or Defence Sector,2008-09,2534.0,,99.412915851272
Primary,Foreign Affairs or Defence Sector,2009-10,2573.0,,99.15503306392358
Primary,Foreign Affairs or Defence Sector,2010-11,2892.0,,99.07223326706428
Primary,Foreign Affairs or Defence Sector,2011-12,3945.0,,98.76022157742021
Primary,Foreign Affairs or Defence Sector,2012-13,4940.0,,99.55882352941177
Primary,Foreign Affairs or Defence Sector,2013-14,4768.0,,99.16915210907543
Primary,Foreign Affairs or Defence Sector,2014-15,4597.0,,99.5153117426746
Primary,Foreign Affairs or Defence Sector,2015-16,3917.0,,99.24004192872118
Primary,Foreign Affairs or Defence Sector,2016-17,5002.0,,99.19839679358718
Primary,Foreign Affairs or Defence Sector,2017-18,5008.0,,99.63129864809504
Primary,Foreign Affairs or Defence Sector,2018-19,3861.0,,99.70588235294117
Primary,Foreign Affairs or Defence Sector,2019-20,2739.0,,99.46008484381026
Primary,Foreign Affairs or Defence Sector,2020-21,966.0,,97.0954356846473
Primary,Foreign Affairs or Defence Sector,2021-22,2421.0,,97.88633161108503
Primary,Foreign Affairs or Defence Sector,2022-23,3279.0,,97.72727272727273
Primary,Foreign Affairs or Defence Sector,2023-24,3662.0,,99.31072511717673
Primary,Foreign Affairs or Defence Sector,2024-25,3890.0,,99.5045632333768
Primary,Foreign Affairs or Defence Sector,2025-26 to 31 March 2026,2742.0,,99.25428784489188
Primary,Foreign Affairs or Defence Sector,Financial Year of Visa Grant,,2849.0,
Primary,Foreign Affairs or Defence Sector,nan,,2799.0,
Primary,Foreign Affairs or Defence Sector,nan,,2615.0,
Primary,Foreign Affairs or Defence Sector,nan,,2540.0,
Primary,Foreign Affairs or Defence Sector,nan,,2699.0,
Primary,Foreign Affairs or Defence Sector,nan,,2990.0,
Primary,Foreign Affairs or Defence Sector,nan,,3744.0,
Primary,Foreign Affairs or Defence Sector,nan,,4739.0,
Primary,Foreign Affairs or Defence Sector,nan,,4655.0,
Primary,Foreign Affairs or Defence Sector,nan,,4517.0,
Primary,Foreign Affairs or Defence Sector,nan,,3787.0,
Primary,Foreign Affairs or Defence Sector,nan,,4950.0,
Primary,Foreign Affairs or Defence Sector,nan,,4864.0,
Primary,Foreign Affairs or Defence Sector,nan,,3729.0,
Primary,Foreign Affairs or Defence Sector,nan,,2579.0,
Primary,Foreign Affairs or Defence Sector,nan,,702.0,
Primary,Foreign Affairs or Defence Sector,nan,,2084.0,
Primary,Foreign Affairs or Defence Sector,nan,,3354.0,
Primary,Foreign Affairs or Defence Sector,nan,,3602.0,
Primary,Foreign Affairs or Defence Sector,nan,,3816.0,
Primary,Foreign Affairs or Defence Sector,nan,,2662.0,
Primary,Higher Education Sector,2005-06,94796.0,,96.16770969239955
Primary,Higher Education Sector,2006-07,108025.0,,97.09622156657467
Primary,Higher Education Sector,2007-08,118781.0,,96.36108582927663
Primary,Higher Education Sector,2008-09,122455.0,,95.72863304927691
Primary,Higher Education Sector,2009-10,109814.0,,94.53014067116462
Primary,Higher Education Sector,2010-11,104869.0,,96.05196250563662
Primary,Higher Education Sector,2011-12,107650.0,,92.97417098397143
Primary,Higher Education Sector,2012-13,124492.0,,94.66854677611589
Primary,Higher Education Sector,2013-14,144874.0,,94.20072052079749
Primary,Higher Education Sector,2014-15,148674.0,,92.20936042638242
Primary,Higher Education Sector,2015-16,155486.0,,91.96375734781637
Primary,Higher Education Sector,2016-17,163204.0,,95.2885010707952
Primary,Higher Education Sector,2017-18,179282.0,,95.07851012832289
Primary,Higher Education Sector,2018-19,206637.0,,94.2704472295055
Primary,Higher Education Sector,2019-20,169940.0,,94.48386815160322
Primary,Higher Education Sector,2020-21,122145.0,,96.3761353220565
Primary,Higher Education Sector,2021-22,171434.0,,96.04357348209763
Primary,Higher Education Sector,2022-23,273586.0,,87.5108418644993
Primary,Higher Education Sector,2023-24,270390.0,,84.23320817688777
Primary,Higher Education Sector,2024-25,228906.0,,91.9311786174228
Primary,Higher Education Sector,2025-26 to 31 March 2026,178321.0,,84.93872528733729
Primary,Higher Education Sector,Financial Year of Visa Grant,,86976.0,
Primary,Higher Education Sector,nan,,102019.0,
Primary,Higher Education Sector,nan,,115403.0,
Primary,Higher Education Sector,nan,,118289.0,
Primary,Higher Education Sector,nan,,107183.0,
Primary,Higher Education Sector,nan,,100114.0,
Primary,Higher Education Sector,nan,,99421.0,
Primary,Higher Education Sector,nan,,112790.0,
Primary,Higher Education Sector,nan,,134139.0,
Primary,Higher Education Sector,nan,,132870.0,
Primary,Higher Education Sector,nan,,139864.0,
Primary,Higher Education Sector,nan,,155285.0,
Primary,Higher Education Sector,nan,,174934.0,
Primary,Higher Education Sector,nan,,189477.0,
Primary,Higher Education Sector,nan,,151520.0,
Primary,Higher Education Sector,nan,,115661.0,
Primary,Higher Education Sector,nan,,134631.0,
Primary,Higher Education Sector,nan,,261317.0,
Primary,Higher Education Sector,nan,,201907.0,
Primary,Higher Education Sector,nan,,206300.0,
Primary,Higher Education Sector,nan,,153937.0,
Primary,Independent ELICOS Sector,2005-06,26603.0,,97.2382443943619
Primary,Independent ELICOS Sector,2006-07,30522.0,,97.1111710375514
Primary,Independent ELICOS Sector,2007-08,29811.0,,96.1553999461352
Primary,Independent ELICOS Sector,2008-09,38142.0,,92.95720379799091
Primary,Independent ELICOS Sector,2009-10,33891.0,,91.92032422178148
Primary,Independent ELICOS Sector,2010-11,29547.0,,90.29079712624016
Primary,Independent ELICOS Sector,2011-12,28939.0,,89.51270069915329
Primary,Independent ELICOS Sector,2012-13,29870.0,,92.65241597360642
Primary,Independent ELICOS Sector,2013-14,30596.0,,93.84615384615384
Primary,Independent ELICOS Sector,2014-15,32736.0,,93.69567878565309
Primary,Independent ELICOS Sector,2015-16,35944.0,,93.24726911618669
Primary,Independent ELICOS Sector,2016-17,41502.0,,89.65343324447007
Primary,Independent ELICOS Sector,2017-18,40596.0,,87.38791709539909
Primary,Independent ELICOS Sector,2018-19,42284.0,,89.80874843433857
